Date,Open,High,Low,Close,Volume
20241210  05:25:00,604.7,604.7,604.7,604.7,1
20241210  05:30:00,604.76,604.76,604.76,604.76,1
20241210  05:35:00,604.72,604.84,604.72,604.84,9
20241210  05:40:00,604.84,604.84,604.84,604.84,0
20241210  05:45:00,604.57,604.57,604.57,604.57,4
20241210  05:50:00,604.57,604.57,604.57,604.57,0
20241210  05:55:00,604.8,604.82,604.75,604.82,10
20241210  06:00:00,604.8,604.92,604.8,604.91,5
20241210  06:05:00,604.91,604.91,604.91,604.91,0
20241210  06:10:00,604.93,604.93,604.93,604.93,1
20241210  06:15:00,604.96,605.05,604.96,605.05,53
20241210  06:20:00,605.09,605.1,605.09,605.1,9
20241210  06:25:00,605.08,605.09,605.08,605.09,3
20241210  06:30:00,605.2,605.24,605.2,605.24,24
20241210  06:35:00,605.23,605.33,605.23,605.33,90
20241210  06:40:00,605.27,605.27,605.24,605.24,354
20241210  06:45:00,605.2,605.2,605.17,605.17,17
20241210  06:50:00,605.17,605.17,605.17,605.17,0
20241210  06:55:00,605.18,605.18,605.13,605.13,7
20241210  07:00:00,605.18,605.18,605.1,605.18,16
20241210  07:05:00,605.2,605.2,605.1,605.11,47
20241210  07:10:00,605.13,605.15,605.11,605.11,10
20241210  07:15:00,605.11,605.15,605.11,605.15,10
20241210  07:20:00,605.14,605.24,605.14,605.2,136
20241210  07:25:00,605.26,605.29,605.25,605.25,12
20241210  07:30:00,605.25,605.31,605.11,605.2,889
20241210  07:35:00,605.16,605.16,605.16,605.16,3
20241210  07:40:00,605.24,605.31,605.24,605.31,10
20241210  07:45:00,605.27,605.27,605.27,605.27,1
20241210  07:50:00,605.23,605.23,605.22,605.22,5
20241210  07:55:00,605.23,605.25,605.18,605.25,11
20241210  08:00:00,605.13,605.3,604.17,605.25,83
20241210  08:05:00,605.26,605.32,605.17,605.17,93
20241210  08:10:00,605.2,605.3,605.19,605.25,132
20241210  08:15:00,605.25,605.25,605.11,605.11,155
20241210  08:20:00,605.11,605.11,604.9,604.93,168
20241210  08:25:00,604.92,604.97,604.86,604.87,135
20241210  08:30:00,604.89,604.93,604.81,604.85,129
20241210  08:35:00,604.81,604.88,604.8,604.83,242
20241210  08:40:00,604.89,604.92,604.81,604.83,65
20241210  08:45:00,604.8,604.87,604.77,604.86,92
20241210  08:50:00,604.91,604.91,604.78,604.78,77
